Cell Names,Date String,Tower Name,Zip,Attempted,Completed,Dropped,Dropped Call Percentage,F1,Number of Records
Rumia,10/04/2015 01:38,Eastower,603,1,1,0,0,3747,1
Rumia,10/04/2015 01:39,Leaffson,602,1,1,0,0,260,1
Shaver,10/04/2015 01:40,Eastower,603,1,1,0,0,1053,1
Shaver,10/04/2015 01:40,Clown Castle,603,1,1,0,0,2032,1
Iclone,10/04/2015 01:41,Leaffson,603,1,1,0,0,916,1
Rexus,10/04/2015 01:41,Reflector Pond,603,1,1,0,0,2842,1
Fallacy,10/04/2015 01:41,Eastower,603,1,1,0,0,2751,1
Rexus,10/04/2015 01:42,Leaffson,602,1,1,0,0,548,1
Fallacy,10/04/2015 01:42,Reflector Pond,603,1,1,0,0,3371,1
Fallacy,10/04/2015 01:43,Eastower,603,1,1,0,0,3575,1
Rexus,10/04/2015 01:44,Eastower,603,1,1,0,0,2295,1
KTV 2,10/04/2015 01:44,Leaffson,603,1,1,0,0,1201,1
Iclone,10/04/2015 01:45,Leaffson,603,1,1,0,0,2021,1
Rexus,10/04/2015 01:45,GLU,603,1,1,0,0,3577,1
Rexus,10/04/2015 01:45,Reflector Pond,603,1,1,0,0,2078,1
Rexus,10/04/2015 01:46,Clown Castle,602,1,1,0,0,469,1
KTV 2,10/04/2015 01:46,Eastower,602,1,1,0,0,25,1
Fallacy,10/04/2015 01:47,GLU,602,1,1,0,0,711,1
Rexus,10/04/2015 01:48,Eastower,603,1,1,0,0,1202,1
Shaver,10/04/2015 01:52,Leaffson,603,1,1,0,0,2598,1
Rexus,10/04/2015 01:53,Eastower,602,1,1,0,0,26,1
KTV 2,10/04/2015 01:53,GLU,603,1,1,0,0,2183,1
Rumia,10/04/2015 01:53,Reflector Pond,603,1,1,0,0,3707,1
Shaver,10/04/2015 01:53,Reflector Pond,603,1,1,0,0,1505,1
KTV 2,10/04/2015 01:55,Eastower,603,1,1,0,0,1645,1
Iclone,10/04/2015 01:56,Leaffson,603,1,1,0,0,1943,1
Rumia,10/04/2015 01:57,Eastower,602,1,1,0,0,642,1
Fallacy,10/04/2015 01:58,Eastower,602,1,1,0,0,438,1
KTV 2,10/04/2015 01:58,Leaffson,602,1,1,0,0,633,1
Rexus,10/04/2015 01:58,Clown Castle,610,1,1,0,0,4151,1
Rexus,10/04/2015 01:59,Reflector Pond,603,1,1,0,0,1448,1
Fallacy,10/04/2015 01:59,Clown Castle,603,1,1,0,0,2413,1
Rumia,10/04/2015 02:00,Clown Castle,602,1,1,0,0,298,1
Rexus,10/04/2015 02:00,Clown Castle,606,1,1,0,0,3892,1
Fallacy,10/04/2015 02:01,Reflector Pond,603,1,1,0,0,3282,1
KTV 2,10/04/2015 02:01,Reflector Pond,603,1,1,0,0,2371,1
Rexus,10/04/2015 02:02,Eastower,603,1,1,0,0,2648,1
Fallacy,10/04/2015 02:02,Leaffson,603,1,1,0,0,2732,1
KTV 2,10/04/2015 02:02,Reflector Pond,603,1,1,0,0,3204,1
KTV 2,10/04/2015 02:03,Clown Castle,602,1,1,0,0,762,1
Iclone,10/04/2015 02:03,Eastower,603,1,1,0,0,3247,1
Fallacy,10/04/2015 02:03,Leaffson,603,1,1,0,0,2937,1
KTV 2,10/04/2015 02:04,Reflector Pond,610,1,1,0,0,4080,1
Iclone,10/04/2015 02:05,Reflector Pond,603,1,1,0,0,2474,1
KTV 2,10/04/2015 02:05,Eastower,603,1,1,0,0,1919,1
Rumia,10/04/2015 02:05,Clown Castle,603,1,1,0,0,2310,1
Rumia,10/04/2015 02:06,Eastower,602,1,1,0,0,657,1
Shaver,10/04/2015 02:06,Leaffson,602,1,1,0,0,128,1
Rexus,10/04/2015 02:06,Leaffson,603,1,1,0,0,1260,1
Rexus,10/04/2015 02:07,Leaffson,603,1,1,0,0,3295,1
KTV 2,10/04/2015 02:07,Clown Castle,603,1,1,0,0,2582,1
KTV 2,10/04/2015 02:08,Eastower,602,1,1,0,0,708,1
KTV 2,10/04/2015 02:08,Reflector Pond,602,1,1,0,0,302,1
Rumia,10/04/2015 02:08,Reflector Pond,602,1,1,0,0,558,1
Iclone,10/04/2015 02:08,Clown Castle,603,1,1,0,0,1770,1
KTV 2,10/04/2015 02:08,Clown Castle,603,1,1,0,0,3263,1
Rumia,10/04/2015 02:08,Leaffson,603,1,1,0,0,1138,1
Shaver,10/04/2015 02:08,GLU,603,1,1,0,0,2934,1
Rexus,10/04/2015 02:09,Eastower,603,1,1,0,0,2294,1
Rexus,10/04/2015 02:09,Reflector Pond,603,1,1,0,0,2072,1
Fallacy,10/04/2015 02:09,Eastower,603,1,1,0,0,1314,1
Iclone,10/04/2015 02:10,Reflector Pond,603,1,1,0,0,2909,1
Iclone,10/04/2015 02:10,Reflector Pond,603,1,1,0,0,3773,1
Rexus,10/04/2015 02:10,Reflector Pond,603,1,1,0,0,1867,1
KTV 2,10/04/2015 02:11,Leaffson,603,1,1,0,0,1230,1
Rumia,10/04/2015 02:11,Leaffson,603,1,1,0,0,3565,1
KTV 2,10/04/2015 02:11,Reflector Pond,610,1,1,0,0,4144,1
Iclone,10/04/2015 02:12,Eastower,602,1,1,0,0,150,1
KTV 2,10/04/2015 02:12,Clown Castle,603,1,1,0,0,3130,1
KTV 2,10/04/2015 02:14,Reflector Pond,602,1,1,0,0,848,1
Rumia,10/04/2015 02:14,Leaffson,603,1,1,0,0,2251,1
Rumia,10/04/2015 02:14,Reflector Pond,603,1,1,0,0,1760,1
KTV 2,10/04/2015 02:15,Leaffson,603,1,1,0,0,2770,1
Rumia,10/04/2015 02:16,Leaffson,603,1,1,0,0,968,1
Fallacy,10/04/2015 02:17,Reflector Pond,602,1,1,0,0,188,1
Iclone,10/04/2015 02:17,Leaffson,603,1,1,0,0,3395,1
KTV 2,10/04/2015 02:17,Leaffson,603,1,1,0,0,3438,1
KTV 2,10/04/2015 02:18,Clown Castle,602,1,1,0,0,622,1
Iclone,10/04/2015 02:18,Eastower,603,1,1,0,0,2902,1
Fallacy,10/04/2015 02:18,Leaffson,603,1,1,0,0,1678,1
KTV 2,10/04/2015 02:18,Leaffson,603,1,1,0,0,3671,1
KTV 2,10/04/2015 02:18,Reflector Pond,603,1,1,0,0,2303,1
Rexus,10/04/2015 02:19,Leaffson,603,1,1,0,0,2571,1
Rexus,10/04/2015 02:19,Clown Castle,603,1,1,0,0,2897,1
Fallacy,10/04/2015 02:19,Clown Castle,603,1,1,0,0,2716,1
KTV 2,10/04/2015 02:19,Leaffson,603,1,1,0,0,1056,1
Rumia,10/04/2015 02:19,Eastower,603,1,1,0,0,1458,1
KTV 2,10/04/2015 02:19,Reflector Pond,610,1,1,0,0,4142,1
KTV 2,10/04/2015 02:20,Reflector Pond,603,1,1,0,0,1426,1
KTV 2,10/04/2015 02:20,Eastower,610,1,1,0,0,4193,1
Rexus,10/04/2015 02:21,Reflector Pond,603,1,1,0,0,1787,1
Fallacy,10/04/2015 02:21,Reflector Pond,603,1,1,0,0,3154,1
Rumia,10/04/2015 02:21,Leaffson,603,1,0,1,1,1229,1
Fallacy,10/04/2015 02:22,Reflector Pond,603,1,1,0,0,1385,1
Fallacy,10/04/2015 02:22,Reflector Pond,603,1,1,0,0,1176,1
Rumia,10/04/2015 02:22,Leaffson,603,1,1,0,0,3149,1
Rumia,10/04/2015 02:22,Reflector Pond,603,1,1,0,0,2776,1
Shaver,10/04/2015 02:23,Eastower,602,1,1,0,0,36,1
Iclone,10/04/2015 02:24,Eastower,603,1,1,0,0,2024,1
KTV 2,10/04/2015 02:25,Leaffson,602,1,1,0,0,773,1
Fallacy,10/04/2015 02:26,Clown Castle,603,1,1,0,0,3106,1
Rexus,10/04/2015 02:27,Clown Castle,603,1,1,0,0,1183,1
Rumia,10/04/2015 02:27,Eastower,603,1,1,0,0,2700,1
KTV 2,10/04/2015 02:28,Leaffson,602,1,1,0,0,443,1
KTV 2,10/04/2015 02:28,Eastower,602,1,1,0,0,55,1
Fallacy,10/04/2015 02:28,Clown Castle,603,1,1,0,0,3402,1
Rumia,10/04/2015 02:28,Clown Castle,606,1,1,0,0,3880,1
KTV 2,10/04/2015 02:29,Leaffson,602,1,1,0,0,195,1
KTV 2,10/04/2015 02:29,Eastower,602,1,1,0,0,14,1
Rumia,10/04/2015 02:29,Leaffson,602,1,1,0,0,541,1
Fallacy,10/04/2015 02:29,Leaffson,603,1,1,0,0,1389,1
Iclone,10/04/2015 02:30,Eastower,603,1,1,0,0,1298,1
Rumia,10/04/2015 02:31,GLU,602,1,1,0,0,501,1
Shaver,10/04/2015 02:31,Reflector Pond,602,1,1,0,0,707,1
Iclone,10/04/2015 02:31,Clown Castle,603,1,1,0,0,3362,1
Iclone,10/04/2015 02:31,Eastower,603,1,1,0,0,2394,1
Iclone,10/04/2015 02:31,Reflector Pond,603,1,1,0,0,3493,1
KTV 2,10/04/2015 02:31,Eastower,610,1,1,0,0,4011,1
Rexus,10/04/2015 02:32,Eastower,603,1,1,0,0,2378,1
Rumia,10/04/2015 02:32,Eastower,603,1,1,0,0,1871,1
Rumia,10/04/2015 02:33,Eastower,603,1,1,0,0,1694,1
Shaver,10/04/2015 02:33,Clown Castle,603,1,1,0,0,1956,1
Fallacy,10/04/2015 02:34,Eastower,603,1,1,0,0,3044,1
Rexus,10/04/2015 02:36,Clown Castle,602,1,1,0,0,138,1
Fallacy,10/04/2015 02:36,Reflector Pond,602,1,1,0,0,500,1
KTV 2,10/04/2015 02:36,Leaffson,602,1,1,0,0,266,1
Rumia,10/04/2015 02:36,Leaffson,602,1,1,0,0,130,1
Iclone,10/04/2015 02:36,Eastower,603,1,1,0,0,3081,1
Rexus,10/04/2015 02:36,Reflector Pond,603,1,1,0,0,1850,1
Shaver,10/04/2015 02:36,Leaffson,603,1,1,0,0,3547,1
Iclone,10/04/2015 02:37,Reflector Pond,603,1,1,0,0,1977,1
Rexus,10/04/2015 02:37,Leaffson,603,1,1,0,0,2355,1
Rumia,10/04/2015 02:37,Clown Castle,603,1,1,0,0,2336,1
Shaver,10/04/2015 02:37,Reflector Pond,603,1,1,0,0,1382,1
Rumia,10/04/2015 02:38,Eastower,602,1,1,0,0,182,1
Fallacy,10/04/2015 02:38,Clown Castle,603,1,1,0,0,3690,1
Iclone,10/04/2015 02:38,Eastower,606,1,1,0,0,3942,1
Iclone,10/04/2015 02:38,Leaffson,610,1,1,0,0,4190,1
KTV 2,10/04/2015 02:39,Reflector Pond,602,1,1,0,0,407,1
Rexus,10/04/2015 02:39,Eastower,603,1,1,0,0,1587,1
Fallacy,10/04/2015 02:39,Clown Castle,603,1,1,0,0,2908,1
KTV 2,10/04/2015 02:39,Clown Castle,603,1,1,0,0,1161,1
Iclone,10/04/2015 02:39,Eastower,610,1,1,0,0,4067,1
Rumia,10/04/2015 02:39,Reflector Pond,610,1,1,0,0,4064,1
Rumia,10/04/2015 02:40,Clown Castle,603,1,1,0,0,1469,1
KTV 2,10/04/2015 02:41,Reflector Pond,602,1,1,0,0,819,1
Fallacy,10/04/2015 02:41,Clown Castle,603,1,1,0,0,2580,1
Fallacy,10/04/2015 02:41,Reflector Pond,603,1,1,0,0,1681,1
Rumia,10/04/2015 02:41,Leaffson,603,1,1,0,0,3730,1
KTV 2,10/04/2015 02:41,Clown Castle,610,1,1,0,0,4217,1
Iclone,10/04/2015 02:42,Leaffson,603,1,1,0,0,2191,1
Iclone,10/04/2015 02:42,Eastower,603,1,1,0,0,3163,1
Rexus,10/04/2015 02:42,Eastower,603,1,1,0,0,2184,1
Rexus,10/04/2015 02:42,Clown Castle,603,1,1,0,0,987,1
KTV 2,10/04/2015 02:42,Reflector Pond,603,1,1,0,0,1733,1
KTV 2,10/04/2015 02:43,Eastower,603,1,1,0,0,1903,1
Fallacy,10/04/2015 02:44,Reflector Pond,602,1,1,0,0,398,1
Iclone,10/04/2015 02:44,Leaffson,603,1,1,0,0,1690,1
KTV 2,10/04/2015 02:44,Reflector Pond,603,1,1,0,0,1992,1
Rumia,10/04/2015 02:44,Leaffson,603,1,1,0,0,2164,1
Rumia,10/04/2015 02:44,Reflector Pond,603,1,1,0,0,1219,1
Iclone,10/04/2015 02:45,Eastower,603,1,1,0,0,1966,1
Rexus,10/04/2015 02:46,Leaffson,602,1,1,0,0,839,1
Fallacy,10/04/2015 02:46,Clown Castle,603,1,1,0,0,3346,1
Rumia,10/04/2015 02:46,Eastower,603,1,0,1,1,2102,1
Rumia,10/04/2015 02:47,Eastower,603,1,1,0,0,1923,1
Fallacy,10/04/2015 02:47,Eastower,610,1,1,0,0,4237,1
Shaver,10/04/2015 02:48,Eastower,603,1,1,0,0,1059,1
Rexus,10/04/2015 02:49,Leaffson,603,1,1,0,0,1318,1
Rexus,10/04/2015 02:49,Eastower,603,1,1,0,0,3633,1
Shaver,10/04/2015 02:50,Eastower,602,1,1,0,0,506,1
Rumia,10/04/2015 02:50,Clown Castle,603,1,1,0,0,1187,1
Rumia,10/04/2015 02:50,Reflector Pond,603,1,1,0,0,2168,1
Shaver,10/04/2015 02:50,Eastower,603,1,1,0,0,2221,1
Fallacy,10/04/2015 02:51,Clown Castle,603,1,1,0,0,1730,1
Rexus,10/04/2015 02:51,Reflector Pond,610,1,1,0,0,4220,1
Iclone,10/04/2015 02:52,Eastower,603,1,1,0,0,3731,1
Iclone,10/04/2015 02:52,Reflector Pond,603,1,1,0,0,989,1
Rumia,10/04/2015 02:52,Leaffson,610,1,1,0,0,4042,1
Fallacy,10/04/2015 02:53,Leaffson,602,1,1,0,0,796,1
Rexus,10/04/2015 02:53,Leaffson,603,1,1,0,0,2954,1
KTV 2,10/04/2015 02:53,Leaffson,603,1,1,0,0,3150,1
Rumia,10/04/2015 02:53,Leaffson,603,1,1,0,0,2840,1
Iclone,10/04/2015 02:54,Leaffson,602,1,1,0,0,17,1
Iclone,10/04/2015 02:54,Leaffson,603,1,1,0,0,2224,1
Fallacy,10/04/2015 02:54,Reflector Pond,603,1,1,0,0,2846,1
Rumia,10/04/2015 02:54,Leaffson,603,1,1,0,0,1457,1
Fallacy,10/04/2015 02:55,Eastower,602,1,1,0,0,109,1
KTV 2,10/04/2015 02:55,Eastower,602,1,1,0,0,270,1
Rexus,10/04/2015 02:55,Leaffson,603,1,1,0,0,1152,1
KTV 2,10/04/2015 02:55,Clown Castle,603,1,1,0,0,2994,1
KTV 2,10/04/2015 02:56,Reflector Pond,602,1,1,0,0,280,1
Rumia,10/04/2015 02:56,Reflector Pond,603,1,1,0,0,1836,1
KTV 2,10/04/2015 02:56,Leaffson,610,1,1,0,0,4016,1
KTV 2,10/04/2015 02:56,Leaffson,610,1,1,0,0,4083,1
Shaver,10/04/2015 02:57,Eastower,610,1,1,0,0,4124,1
Rumia,10/04/2015 02:58,Eastower,610,1,1,0,0,4257,1
Fallacy,10/04/2015 02:59,Leaffson,603,1,1,0,0,3405,1
Rumia,10/04/2015 02:59,Eastower,603,1,1,0,0,2282,1
Fallacy,10/04/2015 02:59,Reflector Pond,610,1,1,0,0,4260,1
Rumia,10/04/2015 03:00,Reflector Pond,602,1,1,0,0,550,1
KTV 2,10/04/2015 03:00,Eastower,603,1,1,0,0,1462,1
Shaver,10/04/2015 03:00,Eastower,610,1,1,0,0,4056,1
Fallacy,10/04/2015 03:01,Clown Castle,603,1,1,0,0,3716,1
Rumia,10/04/2015 03:02,Reflector Pond,603,1,1,0,0,2442,1
Shaver,10/04/2015 03:02,Reflector Pond,603,1,1,0,0,2490,1
Rumia,10/04/2015 03:03,Reflector Pond,602,1,1,0,0,787,1
Iclone,10/04/2015 03:06,Eastower,603,1,1,0,0,2885,1
Rumia,10/04/2015 03:06,Reflector Pond,603,1,1,0,0,2297,1
Rumia,10/04/2015 03:07,Eastower,603,1,1,0,0,2572,1
Rumia,10/04/2015 03:07,Reflector Pond,603,1,1,0,0,2465,1
Rumia,10/04/2015 03:08,Reflector Pond,602,1,1,0,0,354,1
Iclone,10/04/2015 03:08,Eastower,603,1,1,0,0,1531,1
Rumia,10/04/2015 03:09,Clown Castle,603,1,1,0,0,3339,1
Rumia,10/04/2015 03:09,Clown Castle,603,1,1,0,0,1168,1
Rexus,10/04/2015 03:10,Clown Castle,603,1,1,0,0,3439,1
Rexus,10/04/2015 03:10,Reflector Pond,603,1,1,0,0,2560,1
Rumia,10/04/2015 03:10,Reflector Pond,603,1,1,0,0,2299,1
Iclone,10/04/2015 03:11,Leaffson,602,1,1,0,0,18,1
Rexus,10/04/2015 03:11,Clown Castle,602,1,1,0,0,171,1
Rumia,10/04/2015 03:12,Clown Castle,602,1,1,0,0,818,1
Rexus,10/04/2015 03:13,Reflector Pond,602,1,1,0,0,127,1
Fallacy,10/04/2015 03:13,Reflector Pond,603,1,1,0,0,1511,1
Rexus,10/04/2015 03:14,Leaffson,603,1,1,0,0,3135,1
Rumia,10/04/2015 03:14,Reflector Pond,606,1,1,0,0,3854,1
KTV 2,10/04/2015 03:15,Reflector Pond,603,1,1,0,0,1227,1
KTV 2,10/04/2015 03:15,Reflector Pond,603,1,1,0,0,2194,1
Rumia,10/04/2015 03:15,Clown Castle,603,1,1,0,0,2146,1
Shaver,10/04/2015 03:15,Leaffson,603,1,1,0,0,1990,1
Fallacy,10/04/2015 03:16,Eastower,603,1,1,0,0,1623,1
Shaver,10/04/2015 03:16,Reflector Pond,603,1,1,0,0,3420,1
KTV 2,10/04/2015 03:16,Clown Castle,606,1,0,1,1,3927,1
Rumia,10/04/2015 03:17,Clown Castle,603,1,1,0,0,2220,1
Rumia,10/04/2015 03:17,Clown Castle,603,1,1,0,0,2749,1
Shaver,10/04/2015 03:18,Eastower,602,1,1,0,0,268,1
KTV 2,10/04/2015 03:18,Reflector Pond,603,1,1,0,0,1284,1
Fallacy,10/04/2015 03:19,Reflector Pond,603,1,1,0,0,2217,1
Rumia,10/04/2015 03:19,Eastower,603,1,1,0,0,1270,1
Iclone,10/04/2015 03:19,Eastower,610,1,1,0,0,4253,1
Iclone,10/04/2015 03:20,Clown Castle,602,1,1,0,0,538,1
Rexus,10/04/2015 03:20,Eastower,603,1,1,0,0,1305,1
Rumia,10/04/2015 03:20,GLU,603,1,1,0,0,2328,1
Shaver,10/04/2015 03:22,Reflector Pond,602,1,1,0,0,793,1
Rexus,10/04/2015 03:22,Reflector Pond,603,1,1,0,0,2273,1
Fallacy,10/04/2015 03:22,Eastower,603,1,1,0,0,2274,1
Iclone,10/04/2015 03:24,Clown Castle,602,1,1,0,0,836,1
Rexus,10/04/2015 03:24,GLU,603,1,1,0,0,2314,1
Fallacy,10/04/2015 03:25,Leaffson,603,1,1,0,0,1807,1
Rumia,10/04/2015 03:25,Leaffson,603,1,1,0,0,1697,1
Rumia,10/04/2015 03:25,Eastower,603,1,1,0,0,2066,1
Shaver,10/04/2015 03:25,Clown Castle,603,1,1,0,0,3752,1
KTV 2,10/04/2015 03:26,Reflector Pond,602,1,1,0,0,250,1
Rexus,10/04/2015 03:26,Leaffson,603,1,1,0,0,2122,1
Fallacy,10/04/2015 03:26,Reflector Pond,603,1,1,0,0,3160,1
Rumia,10/04/2015 03:26,Eastower,603,1,0,1,1,1496,1
Rexus,10/04/2015 03:27,Leaffson,602,1,1,0,0,491,1
KTV 2,10/04/2015 03:27,Leaffson,602,1,1,0,0,119,1
Rumia,10/04/2015 03:27,Clown Castle,602,1,1,0,0,318,1
Iclone,10/04/2015 03:27,Eastower,603,1,1,0,0,1094,1
Rexus,10/04/2015 03:27,Eastower,603,1,1,0,0,903,1
KTV 2,10/04/2015 03:28,Eastower,602,1,1,0,0,612,1
Fallacy,10/04/2015 03:28,Leaffson,603,1,1,0,0,1632,1
Fallacy,10/04/2015 03:29,Eastower,603,1,1,0,0,999,1
Rumia,10/04/2015 03:29,Leaffson,603,1,1,0,0,1875,1
Rumia,10/04/2015 03:29,Leaffson,603,1,1,0,0,1683,1
Iclone,10/04/2015 03:30,Eastower,603,1,1,0,0,1087,1
Rexus,10/04/2015 03:30,GLU,603,1,1,0,0,971,1
Fallacy,10/04/2015 03:30,Clown Castle,603,1,1,0,0,2585,1
Fallacy,10/04/2015 03:30,Reflector Pond,603,1,1,0,0,1600,1
Rumia,10/04/2015 03:30,Leaffson,603,1,1,0,0,3156,1
Rumia,10/04/2015 03:33,Reflector Pond,603,1,1,0,0,3065,1
Rexus,10/04/2015 03:34,Clown Castle,602,1,1,0,0,749,1
KTV 2,10/04/2015 03:34,Eastower,602,1,1,0,0,698,1
Rexus,10/04/2015 03:35,Reflector Pond,603,1,1,0,0,2548,1
Fallacy,10/04/2015 03:35,Eastower,603,1,1,0,0,2460,1
Fallacy,10/04/2015 03:35,Eastower,610,1,1,0,0,4223,1
Rexus,10/04/2015 03:36,Leaffson,603,1,1,0,0,1958,1
Rexus,10/04/2015 03:36,Reflector Pond,603,1,1,0,0,2377,1
Rumia,10/04/2015 03:36,Reflector Pond,603,1,1,0,0,1028,1
Shaver,10/04/2015 03:37,Eastower,602,1,1,0,0,764,1
Rumia,10/04/2015 03:37,Reflector Pond,603,1,1,0,0,2065,1
Rumia,10/04/2015 03:37,Reflector Pond,603,1,1,0,0,2726,1
Fallacy,10/04/2015 03:38,Eastower,602,1,1,0,0,509,1
KTV 2,10/04/2015 03:38,Eastower,602,1,1,0,0,480,1
KTV 2,10/04/2015 03:38,Reflector Pond,602,1,1,0,0,230,1
Shaver,10/04/2015 03:38,Clown Castle,602,1,1,0,0,261,1
Fallacy,10/04/2015 03:38,Leaffson,603,1,1,0,0,1182,1
Rumia,10/04/2015 03:38,Reflector Pond,603,1,1,0,0,2374,1
Shaver,10/04/2015 03:38,Reflector Pond,610,1,1,0,0,4112,1
Fallacy,10/04/2015 03:39,Clown Castle,602,1,1,0,0,842,1
Fallacy,10/04/2015 03:39,Reflector Pond,602,1,1,0,0,824,1
KTV 2,10/04/2015 03:39,GLU,603,1,1,0,0,2448,1
Rumia,10/04/2015 03:39,Clown Castle,603,1,1,0,0,943,1
Rexus,10/04/2015 03:40,Clown Castle,602,1,1,0,0,872,1
KTV 2,10/04/2015 03:40,GLU,602,1,1,0,0,71,1
Fallacy,10/04/2015 03:40,Leaffson,603,1,1,0,0,2583,1
KTV 2,10/04/2015 03:40,Leaffson,603,1,1,0,0,2111,1
Rumia,10/04/2015 03:40,Reflector Pond,603,1,1,0,0,1241,1
Rexus,10/04/2015 03:41,Clown Castle,602,1,1,0,0,330,1
Fallacy,10/04/2015 03:41,Eastower,602,1,1,0,0,397,1
KTV 2,10/04/2015 03:41,Eastower,603,1,1,0,0,2061,1
Rumia,10/04/2015 03:41,Reflector Pond,604,1,1,0,0,3812,1
Iclone,10/04/2015 03:42,Clown Castle,603,1,1,0,0,3754,1
Iclone,10/04/2015 03:42,Clown Castle,603,1,1,0,0,3283,1
Rexus,10/04/2015 03:42,Reflector Pond,603,1,1,0,0,1200,1
